Customer_Id,Category_Name,value
0,loan_grade,D
0,loan_amnt,35000
0,person_age,22
0,person_income,59000
1,person_age,25
1,loan_grade,C
1,loan_amnt,5500
1,person_income,9600
2,loan_amnt,35000
2,person_age,23
2,loan_grade,C
2,person_income,65500
3,loan_amnt,35000
3,person_age,24
3,loan_grade,C
3,person_income,54400
4,loan_amnt,2500
4,person_age,21
4,person_income,9900
4,loan_grade,A
5,person_age,26
5,loan_grade,B
5,loan_amnt,35000
5,person_income,77100
6,loan_grade,B
6,person_income,78956
6,loan_amnt,35000
6,person_age,24
7,loan_grade,A
7,person_income,83000
7,loan_amnt,35000
7,person_age,24
8,person_income,10000
8,loan_amnt,1600
8,loan_grade,D
8,person_age,21
9,person_income,85000
9,loan_amnt,35000
9,loan_grade,B
9,person_age,22
10,person_age,21
10,person_income,10000
10,loan_amnt,4500
10,loan_grade,A
11,loan_grade,A
11,person_income,95000
11,person_age,23
11,loan_amnt,35000
12,person_age,26
12,person_income,108160
12,loan_amnt,35000
12,loan_grade,E
13,person_age,23
13,person_income,92111
13,loan_grade,F
13,loan_amnt,35000
14,person_age,23
14,loan_grade,D
14,person_income,113000
14,loan_amnt,35000
15,loan_grade,B
15,person_age,24
15,person_income,10800
15,loan_amnt,1750
16,person_income,65000
16,loan_amnt,34000
16,loan_grade,D
16,person_age,22
17,loan_amnt,33950
17,loan_grade,D
17,person_age,22
17,person_income,80000
18,loan_amnt,33000
18,person_age,24
18,person_income,67746
18,loan_grade,C
19,loan_amnt,4575
19,person_age,21
19,loan_grade,E
19,person_income,11000
20,loan_amnt,32500
20,person_age,24
20,person_income,65000
20,loan_grade,B
21,loan_grade,C
21,loan_amnt,4000
21,person_age,21
21,person_income,11389
22,person_income,11520
22,loan_grade,B
22,loan_amnt,2000
22,person_age,21
23,loan_grade,C
23,person_age,26
23,person_income,95000
23,loan_amnt,31050
24,person_age,21
24,loan_amnt,2500
24,person_income,12000
24,loan_grade,A
25,person_age,22
25,person_income,48000
25,loan_amnt,30000
25,loan_grade,E
26,person_income,64000
26,loan_grade,D
26,person_age,24
26,loan_amnt,30000
27,person_income,75000
27,loan_amnt,30000
27,person_age,25
27,loan_grade,D
28,loan_grade,E
28,person_income,62050
28,person_age,26
28,loan_amnt,30000
29,person_income,12000
29,person_age,24
29,loan_grade,B
29,loan_amnt,2500
30,loan_amnt,30000
30,person_age,26
30,person_income,80690
30,loan_grade,A
31,person_income,66300
31,person_age,22
31,loan_grade,B
31,loan_amnt,30000
32,loan_grade,A
32,loan_amnt,30000
32,person_age,26
32,person_income,89028
33,person_income,78000
33,loan_amnt,30000
33,person_age,23
33,loan_grade,F
34,loan_grade,C
34,loan_amnt,30000
34,person_income,92004
34,person_age,23
35,person_age,23
35,loan_amnt,30000
35,loan_grade,B
35,person_income,97000
36,loan_grade,D
36,person_age,25
36,person_income,221850
36,loan_amnt,25000
37,loan_amnt,29100
37,person_age,22
37,loan_grade,D
37,person_income,70000
38,loan_amnt,3000
38,person_age,21
38,loan_grade,C
38,person_income,12000
39,loan_amnt,28000
39,person_income,65000
39,loan_grade,A
39,person_age,23
40,loan_amnt,28000
40,person_age,26
40,loan_grade,A
40,person_income,85000
41,person_income,12000
41,loan_amnt,6100
41,loan_grade,A
41,person_age,26
42,person_age,22
42,person_income,88000
42,loan_amnt,28000
42,loan_grade,B
43,loan_grade,C
43,person_income,12000
43,person_age,21
43,loan_amnt,4200
44,loan_amnt,4750
44,person_age,22
44,person_income,12000
44,loan_grade,A
45,loan_amnt,28000
45,loan_grade,D
45,person_age,24
45,person_income,83004
46,loan_grade,E
46,person_age,21
46,loan_amnt,3250
46,person_income,12000
47,loan_grade,C
47,person_age,22
47,person_income,70000
47,loan_amnt,27500
48,person_age,26
48,loan_amnt,27050
48,loan_grade,D
48,person_income,73200
49,loan_grade,C
49,loan_amnt,27000
49,person_income,83000
49,person_age,24
50,loan_amnt,26000
50,loan_grade,B
50,person_income,62500
50,person_age,23
51,person_age,22
51,person_income,60000
51,loan_amnt,25475
51,loan_grade,B
52,person_age,25
52,person_income,221004
52,loan_grade,D
52,loan_amnt,11900
53,loan_amnt,25300
53,loan_grade,B
53,person_age,23
53,person_income,83000
54,person_age,21
54,loan_grade,C
54,loan_amnt,25000
54,person_income,42500
55,person_age,25
55,loan_grade,C
55,loan_amnt,3000
55,person_income,12816
56,person_age,24
56,person_income,12960
56,loan_amnt,3650
56,loan_grade,B
57,person_income,213000
57,loan_grade,B
57,loan_amnt,35000
57,person_age,26
58,loan_grade,B
58,person_age,24
58,person_income,12960
58,loan_amnt,4500
59,loan_grade,C
59,loan_amnt,2400
59,person_age,23
59,person_income,12996
60,loan_grade,D
60,person_age,22
60,person_income,42000
60,loan_amnt,25000
61,loan_grade,B
61,person_age,26
61,loan_amnt,25000
61,person_income,48000
62,loan_amnt,3600
62,loan_grade,D
62,person_income,12996
62,person_age,25
63,person_age,25
63,person_income,42360
63,loan_grade,E
63,loan_amnt,25000
64,person_income,49000
64,loan_amnt,25000
64,loan_grade,B
64,person_age,21
65,person_income,49464
65,loan_grade,B
65,person_age,22
65,loan_amnt,25000
66,loan_amnt,25000
66,person_age,23
66,loan_grade,A
66,person_income,50000
67,person_age,25
67,loan_amnt,25000
67,person_income,50000
67,loan_grade,A
68,person_age,24
68,loan_grade,D
68,loan_amnt,25000
68,person_income,44000
69,loan_amnt,25000
69,person_age,23
69,loan_grade,B
69,person_income,50000
70,person_income,50004
70,loan_grade,B
70,person_age,22
70,loan_amnt,25000
71,loan_amnt,25000
71,loan_grade,C
71,person_age,22
71,person_income,50004
72,loan_grade,B
72,person_income,52000
72,loan_amnt,25000
72,person_age,22
73,loan_grade,A
73,person_income,13200
73,person_age,23
73,loan_amnt,4950
74,loan_grade,C
74,person_income,52000
74,loan_amnt,25000
74,person_age,23
75,person_age,26
75,loan_amnt,25000
75,loan_grade,D
75,person_income,46000
76,person_age,22
76,loan_amnt,25000
76,person_income,53000
76,loan_grade,C
77,person_income,47000
77,loan_grade,D
77,loan_amnt,25000
77,person_age,26
78,person_income,47000
78,loan_amnt,25000
78,person_age,23
78,loan_grade,E
79,person_income,13200
79,person_age,21
79,loan_grade,C
79,loan_amnt,4500
80,loan_grade,F
80,person_age,26
80,loan_amnt,25000
80,person_income,48000
81,loan_grade,B
81,person_age,23
81,person_income,55000
81,loan_amnt,25000
82,person_income,55000
82,loan_grade,D
82,person_age,23
82,loan_amnt,25000
83,person_age,24
83,loan_grade,C
83,person_income,55164
83,loan_amnt,25000
84,person_age,26
84,loan_amnt,25000
84,person_income,56000
84,loan_grade,C
85,person_age,23
85,person_income,190000
85,loan_amnt,22000
85,loan_grade,F
86,person_age,23
86,person_income,13920
86,loan_grade,E
86,loan_amnt,7750
87,person_income,60000
87,person_age,24
87,loan_grade,B
87,loan_amnt,25000
88,loan_amnt,25000
88,loan_grade,B
88,person_income,60000
88,person_age,24
89,loan_amnt,25000
89,loan_grade,D
89,person_income,54000
89,person_age,26
90,loan_amnt,25000
90,person_income,54000
90,person_age,25
90,loan_grade,E
91,person_income,60000
91,loan_amnt,25000
91,person_age,23
91,loan_grade,C
92,person_age,23
92,loan_grade,B
92,loan_amnt,25000
92,person_income,60000
93,loan_amnt,25000
93,loan_grade,B
93,person_income,60000
93,person_age,21
94,loan_amnt,25000
94,person_age,25
94,loan_grade,C
94,person_income,61959
95,person_income,56400
95,person_age,22
95,loan_amnt,25000
95,loan_grade,D
96,person_age,24
96,loan_amnt,25000
96,loan_grade,B
96,person_income,66000
97,loan_amnt,25000
97,person_income,66000
